estate name,detail link,photo links
Mee Wah Building,https://www.28hse.com/en/estate/detail/mee-wah-building-6235,https://i1.28hse.com/2022/09/202209081249461930479_large.jpg
Repulse Bay Garden,https://www.28hse.com/en/estate/detail/repulse-bay-garden-201,https://i1.28hse.com/2022/09/202209081213375648889_large.jpg
Tai Tou Villa,https://www.28hse.com/en/estate/detail/tai-tou-villa-24920,https://i1.28hse.com/2022/09/202209081254203478483_large.jpg
Tin Po House,https://www.28hse.com/en/estate/detail/tin-po-house-23773,https://i1.28hse.com/2022/09/202209081227507290790_large.jpg
Jadines Lookout Garden Mansion,https://www.28hse.com/en/estate/detail/jadines-lookout-garden-mansion-7364,https://i1.28hse.com/2022/09/202209081256115220527_large.jpg
Nan Yuen Building,https://www.28hse.com/en/estate/detail/nan-yuen-building-7936,https://i1.28hse.com/2022/09/20220908130010390448_large.jpg
Yam Yuen Mansion,https://www.28hse.com/en/estate/detail/yam-yuen-mansion-8436,https://i1.28hse.com/2022/09/202209081303445020073_large.jpg
432 Shanghai Street,https://www.28hse.com/en/estate/detail/432-shanghai-street-24094,https://i1.28hse.com/2022/09/20220908122955744842_large.jpg
Kellett Grove,https://www.28hse.com/en/estate/detail/kellett-grove-25219,https://i1.28hse.com/2022/09/202209081255414784992_large.jpg
AVA 61,https://www.28hse.com/en/estate/detail/ava-61-22314,https://i1.28hse.com/2022/09/202209081215452672476_large.jpg
Kin Lee Building,https://www.28hse.com/en/estate/detail/kin-lee-building-27058,https://i1.28hse.com/2022/09/202209081231274975692_large.jpg
Blue Pool Garden,https://www.28hse.com/en/estate/detail/blue-pool-garden-26774,https://i1.28hse.com/2022/09/202209081227181708137_large.jpg
Look Yuen,https://www.28hse.com/en/estate/detail/look-yuen-6552,https://i1.28hse.com/2022/09/202209081251581474961_large.jpg
Aroma House,https://www.28hse.com/en/estate/detail/aroma-house-23943,https://i1.28hse.com/2022/09/202209081228597386982_large.jpg
29 Bisney Road,https://www.28hse.com/en/estate/detail/29-bisney-road-26658,https://i1.28hse.com/2022/09/202209081226278173815_large.jpg
Siu Kwan Mansion,https://www.28hse.com/en/estate/detail/siu-kwan-mansion-312,https://i1.28hse.com/2022/09/20220908123529515305_large.jpg
Hang Po Building,https://www.28hse.com/en/estate/detail/hang-po-building-7946,https://i1.28hse.com/2022/09/202209081300143684055_large.jpg
Ming Hing Building,https://www.28hse.com/en/estate/detail/ming-hing-building-26857,https://i1.28hse.com/2022/09/202209081230098229714_large.jpg
AXIS,https://www.28hse.com/en/estate/detail/axis-8594,https://i1.28hse.com/2022/09/202209081304574885324_large.jpg
Tak Lee Building,https://www.28hse.com/en/estate/detail/tak-lee-building-5141,https://i1.28hse.com/2022/09/202209081242213918604_large.jpg
The Kingston Hills,https://www.28hse.com/en/estate/detail/the-kingston-hills-25650,https://i1.28hse.com/2022/09/202209081305588811704_large.jpg
Vicky Court,https://www.28hse.com/en/estate/detail/vicky-court-26344,https://i1.28hse.com/2022/09/202209081223565582128_large.jpg
Winfield Building,https://www.28hse.com/en/estate/detail/winfield-building-6592,https://i1.28hse.com/2022/09/202209081252186316782_large.jpg
22 La Salle Road ,https://www.28hse.com/en/estate/detail/22-la-salle-road-23930,https://i1.28hse.com/2022/09/202209081228548381876_large.jpg
Clear Water Bay Knoll,https://www.28hse.com/en/estate/detail/clear-water-bay-knoll-25063,https://i1.28hse.com/2022/09/202209081254584011030_large.jpg
Kam Yin Mansion,https://www.28hse.com/en/estate/detail/kam-yin-mansion-23800,https://i1.28hse.com/2022/09/202209081228023330638_large.jpg
Toa Tak Building,https://www.28hse.com/en/estate/detail/toa-tak-building-24612,https://i1.28hse.com/2022/09/20220908124453127191_large.jpg
Pak Ling Building,https://www.28hse.com/en/estate/detail/pak-ling-building-879,https://i1.28hse.com/2022/09/202209081306214499841_large.jpg
Brighton Place,https://www.28hse.com/en/estate/detail/brighton-place-7903,https://i1.28hse.com/2022/09/202209081259541783727_large.jpg
Kam Luk Building,https://www.28hse.com/en/estate/detail/kam-luk-building-6256,https://i1.28hse.com/2022/09/202209081249545067524_large.jpg
Shun On Estate,https://www.28hse.com/en/estate/detail/shun-on-estate-25258,https://i1.28hse.com/2022/09/202209081255578963532_large.jpg
Hang Fat Mansion,https://www.28hse.com/en/estate/detail/hang-fat-mansion-7495,https://i1.28hse.com/2022/09/202209081257012633120_large.jpg
Violet Court,https://www.28hse.com/en/estate/detail/violet-court-2211,https://i1.28hse.com/2022/09/202209081215012191484_large.jpg
