Name,Estate,Photo
Yan Tsui Court,https://www.28hse.com/en/estate/hk/chai-wan/6182_yan-tsui-court,
Two Artlane,https://www.28hse.com/en/estate/hk/sai-ying-pun/23491_two-artlane,
Hong Kong ParkView,https://www.28hse.com/en/estate/hk/parkview/235_hong-kong-parkview,https://i1.28hse.com/2022/09/20220908122205533979_large.jpg
Yue Fai Court,https://www.28hse.com/en/estate/hk/aberdeen/295_yue-fai-court,https://i1.28hse.com/2022/09/202209081234148202776_large.jpg
Kingearn Building,https://www.28hse.com/en/estate/hk/sheung-wan/740_kingearn-building,https://i1.28hse.com/2022/09/202209081256234797758_large.jpg
Westlands Gardens,https://www.28hse.com/en/estate/hk/quarry-bay/5257_westlands-gardens,https://i1.28hse.com/2022/09/202209081243044777481_large.jpg
Tung Fai Building,https://www.28hse.com/en/estate/hk/shaukeiwan/1205_tung-fai-building,https://i1.28hse.com/2022/09/202209081213137796647_large.jpg
SceneCliff,https://www.28hse.com/en/estate/hk/western-mid-levels/404_scenecliff,https://i1.28hse.com/2022/09/202209081236212036317_large.jpg
Ming Court,https://www.28hse.com/en/estate/hk/north-point/5344_ming-court,https://i1.28hse.com/2022/09/202209081252517827464_large.jpg
Yue On Court,https://www.28hse.com/en/estate/hk/ap-lei-chau/293_yue-on-court,https://i1.28hse.com/2022/09/202209081234128225820_large.jpg
Beaudry Tower,https://www.28hse.com/en/estate/hk/western-mid-levels/426_beaudry-tower,https://i1.28hse.com/2022/09/202209081238124922319_large.jpg
Tak Fai Building,https://www.28hse.com/en/estate/hk/causeway-bay/8960_tak-fai-building,https://i1.28hse.com/2022/09/202209081307368223004_large.jpg
Mountain View Mansion,https://www.28hse.com/en/estate/hk/wan-chai/6095_mountain-view-mansion,https://i1.28hse.com/2022/09/202209081248474466834_large.jpg
La Place De Victoria,https://www.28hse.com/en/estate/hk/north-point/5741_la-place-de-victoria,https://i1.28hse.com/2022/09/202209081246244757685_large.jpg
Wah Shun Gardens,https://www.28hse.com/en/estate/hk/quarry-bay/1129_wah-shun-gardens,https://i1.28hse.com/2022/09/202209081212465599112_large.jpg
The Belcher's,https://www.28hse.com/en/estate/hk/kennedy-town/551_the-belcher-s,https://i1.28hse.com/2023/01/202301261529054839379_large.jpg
Elizabeth House,https://www.28hse.com/en/estate/hk/causeway-bay/832_elizabeth-house,
Aberdeen Centre,https://www.28hse.com/en/estate/hk/aberdeen/290_aberdeen-centre,https://i1.28hse.com/2022/09/202209081233582728063_large.jpg
DragonFair Garden,https://www.28hse.com/en/estate/hk/kennedy-town/569_dragonfair-garden,https://i1.28hse.com/2022/09/202209081246057088667_large.jpg
Queen's Terrace,https://www.28hse.com/en/estate/hk/sheung-wan/552_queen-s-terrace,https://i1.28hse.com/2023/01/202301271107366906199_large.jpg
Midland Centre,https://www.28hse.com/en/estate/hk/sheung-wan/5136_midland-centre,https://i1.28hse.com/2022/09/202209081242197003529_large.jpg
Island Crest,https://www.28hse.com/en/estate/hk/sai-ying-pun/5444_island-crest,https://i1.28hse.com/2022/09/202209081244205997691_large.jpg
Hee Wong Terrace,https://www.28hse.com/en/estate/hk/kennedy-town/763_hee-wong-terrace,https://i1.28hse.com/2022/09/202209081257581192040_large.jpg
The Sail at Victoria,https://www.28hse.com/en/estate/hk/kennedy-town/5101_the-sail-at-victoria,https://i1.28hse.com/2022/09/202209081242051537019_large.jpg
Happy Court,https://www.28hse.com/en/estate/hk/happy-valley/8387_happy-court,https://i1.28hse.com/2022/09/202209081303214238516_large.jpg
Ka Wai Building,https://www.28hse.com/en/estate/hk/north-point/1104_ka-wai-building,
Harmony Garden,https://www.28hse.com/en/estate/hk/chai-wan/1255_harmony-garden,https://i1.28hse.com/2022/09/202209081240285632981_large.jpg
Kingsfield Garden,https://www.28hse.com/en/estate/hk/north-point-mid/23482_kingsfield-garden,https://i1.28hse.com/2022/09/202209081221356642919_large.jpg
yoo Residence,https://www.28hse.com/en/estate/hk/causeway-bay/7955_yoo-residence,https://i1.28hse.com/2022/09/202209081300194093613_large.jpg
Man On House,https://www.28hse.com/en/estate/hk/wan-chai/5890_man-on-house,https://i1.28hse.com/2022/09/202209081247191407305_large.jpg
Hang Cheong Tai Building,https://www.28hse.com/en/estate/hk/sheung-wan/757_hang-cheong-tai-building,https://i1.28hse.com/2022/09/202209081257353129934_large.jpg
Sham Wan Towers,https://www.28hse.com/en/estate/hk/southern-district/356_sham-wan-towers,https://i1.28hse.com/2023/01/202301261604057829567_large.jpg
Tung Tao Court,https://www.28hse.com/en/estate/hk/shaukeiwan/5015_tung-tao-court,https://i1.28hse.com/2022/09/202209081241308925965_large.jpg
Park Height,https://www.28hse.com/en/estate/hk/western-mid-levels/458_park-height,https://i1.28hse.com/2022/09/20220908124017424454_large.jpg
Lee Loy Building,https://www.28hse.com/en/estate/hk/wan-chai/876_lee-loy-building,https://i1.28hse.com/2022/09/202209081306078954420_large.jpg
Yuet Sum Mansion,https://www.28hse.com/en/estate/hk/sai-ying-pun/22284_yuet-sum-mansion,https://i1.28hse.com/2022/09/202209081215386829970_large.jpg
Smithfield Terrace,https://www.28hse.com/en/estate/hk/kennedy-town/557_smithfield-terrace,https://i1.28hse.com/2022/09/202209081245087629897_large.jpg
Blessings Garden,https://www.28hse.com/en/estate/hk/western-mid-levels/384_blessings-garden,https://i1.28hse.com/2022/09/202209081235542256425_large.jpg
Jade Court,https://www.28hse.com/en/estate/hk/kennedy-town/570_jade-court,https://i1.28hse.com/2022/09/202209081250554092807_large.jpg
Mount Davis,https://www.28hse.com/en/estate/hk/kennedy-town/6727_mount-davis,https://i1.28hse.com/2022/09/2022090812531374923_large.jpg
Island Garden,https://www.28hse.com/en/estate/hk/shaukeiwan/8930_island-garden,https://i1.28hse.com/2022/09/202209081307228205807_large.jpg
High West,https://www.28hse.com/en/estate/hk/sai-ying-pun/7646_high-west,https://i1.28hse.com/2022/09/202209081258066173833_large.jpg
Residence Bel-Air,https://www.28hse.com/en/estate/hk/southern-district/355_residence-bel-air,https://i1.28hse.com/2023/01/202301271211221186765_large.jpg
Hoi Tao Building,https://www.28hse.com/en/estate/hk/kennedy-town/664_hoi-tao-building,https://i1.28hse.com/2022/09/202209081252391984740_large.jpg
Elite's Place,https://www.28hse.com/en/estate/hk/sheung-wan/708_elite-s-place,https://i1.28hse.com/2022/09/202209081254558216103_large.jpg
