Date,District,Estate,Price,Unit Address,Floor,Block,Room,Area,CNAME,CNAME_S,ENAME,REGION
16/9/2021,Kennedy Town,Cadogan,24,1#/F Room A,1,,A,1183,中西區,中西区,CENTRAL & WESTERN,HK
16/9/2021,Mid-Levels,Hillsborough Court,43.38,TOWER 4 2#/F Room D,2,TOWER 4,D,1385,中西區,中西区,CENTRAL & WESTERN,HK
16/9/2021,Chai Wan,Kin Yip Building,3.47,1#/F Room F,1,,F,276,東區,东区,EASTERN,HK
16/9/2021,Heng Fa Chuen,Heng Fa Chuen,2.6,BLOCK 10 1#/F Room 4,1,BLOCK 10,4,631,東區,东区,EASTERN,HK
16/9/2021,Happy Valley,Horace Court,8.8,2#/F Room B,2,,B,574,灣仔區,湾仔区,WAN CHAI,HK
16/9/2021,Shaukeiwan,iUniQ Grand,9.88,2#/F Room C,2,,C,595,東區,东区,EASTERN,HK
16/9/2021,Shaukeiwan,Scenic Horizon,8.45,5/F Room A,5,,A,720,東區,东区,EASTERN,HK
16/9/2021,Quarry Bay,Nan Fung Sun Chuen,1.32,BLOCK NO.1 1#/F Room D,1,BLOCK NO.1,D,627,東區,东区,EASTERN,HK
16/9/2021,North Point,Ming Yuet Building,4.3,1#/F Room C,1,,C,317,東區,东区,EASTERN,HK
16/9/2021,Quarry Bay,Nan Fung Sun Chuen,7.3,BLOCK NO.9 1#/F Room G,1,BLOCK NO.9,G,474,東區,东区,EASTERN,HK
16/9/2021,Chai Wan,FullView Garden,4.05,BLOCK 6 2#/F Room K,2,BLOCK 6,K,515,東區,东区,EASTERN,HK
16/9/2021,Chai Wan,Artview Court,4.06,7/F Room H,7,,H,323,東區,东区,EASTERN,HK
16/9/2021,Wan Chai,Wealthy Mansion,5.55,5/F Room C,5,,C,474,灣仔區,湾仔区,WAN CHAI,HK
16/9/2021,Taikoo Shing,TaiKoo Shing,10,KAM SHAN 6/F Room E,6,KAM SHAN,E,691,東區,东区,EASTERN,HK
16/9/2021,North Point,Elgar Mansion,4.75,9/F Room D,9,,D,355,東區,东区,EASTERN,HK
16/9/2021,Kennedy Town,Kin Liong Mansion,0.798,1#/F Room H,1,,H,323,中西區,中西区,CENTRAL & WESTERN,HK
16/9/2021,Tin Hau,Fai Hon Building,6.48,1#/F Room B,1,,B,510,中西區,中西区,CENTRAL & WESTERN,HK
16/9/2021,Kennedy Town,FairView court,5.98,4/F Room A,4,,A,470,中西區,中西区,CENTRAL & WESTERN,HK
15/9/2021,Western mid-levels,Blessings Garden,9,PHASE I 2#/F Room B,2,PHASE I,B,1068,中西區,中西区,CENTRAL & WESTERN,HK
15/9/2021,Sai Ying Pun,Two Artlane,9.58,3#/F Room F,3,,F,282,中西區,中西区,CENTRAL & WESTERN,HK
15/9/2021,South Horizons,South Horizons,13.84,TOWER 28 2#/F Room H,2,TOWER 28,H,914,南區,南区,SOUTHERN,HK
15/9/2021,Kennedy Town,The Merton,13.8,BLOCK 3 5#/F Room G,5,BLOCK 3,G,692,中西區,中西区,CENTRAL & WESTERN,HK
15/9/2021,Kennedy Town,Smithfield court,5.18,BLOCK 1 5/F Room G,5,BLOCK 1,G,375,中西區,中西区,CENTRAL & WESTERN,HK
15/9/2021,Kennedy Town,Smithfield Terrace,5.52,BLOCK D 4/F Room D2,4,BLOCK D,D2,370,中西區,中西区,CENTRAL & WESTERN,HK
15/9/2021,South Horizons,South Horizons,7.6,TOWER 13A 9/F Room D,9,TOWER 13A,D,776,南區,南区,SOUTHERN,HK
15/9/2021,Tai Hang,Illumination Terrace,29.75,BLOCK 2 4#/F Room C,4,BLOCK 2,C,1312,灣仔區,湾仔区,WAN CHAI,HK
15/9/2021,Pok Fu Lam,Chi Fu Fa Yuen,9.1,BLOCK H-14 1#/F Room F,1,BLOCK H-14,F,694,南區,南区,SOUTHERN,HK
15/9/2021,Taikoo Shing,TaiKoo Shing,14.75,MING KUNG 8/F Room H,8,MING KUNG,H,800,東區,东区,EASTERN,HK
15/9/2021,North Point,TeemKo Court,3.5,2#/F Room A,2,,A,335,東區,东区,EASTERN,HK
15/9/2021,Pok Fu Lam,Pokfulam Gardens,13,BLOCK 2 2#/F Room D,2,BLOCK 2,D,833,南區,南区,SOUTHERN,HK
15/9/2021,Aberdeen,Port Centre,7.12,2#/F Room H,2,,H,502,南區,南区,SOUTHERN,HK
15/9/2021,Quarry Bay,Kornhill,9.25,BLOCK F 1#/F Room 14,1,BLOCK F,14,642,東區,东区,EASTERN,HK
15/9/2021,Chai Wan,Island Resort,9.18,TOWER 6 4#/F Room F,4,TOWER 6,F,722,東區,东区,EASTERN,HK
15/9/2021,Tin Hau,PoTek House,6.66,1#/F Room 9,1,,9,689,東區,东区,EASTERN,HK
15/9/2021,Pok Fu Lam,Chi Fu Fa Yuen,9.36,BLOCK H-14 2#/F Room B,2,BLOCK H-14,B,694,南區,南区,SOUTHERN,HK
15/9/2021,North Point,Delightful Mansion,7.68,1#/F Room D,1,,D,555,東區,东区,EASTERN,HK
15/9/2021,Wan Chai,Hay Wah Building,6.2,BLOCK A 9/F Room 1,9,BLOCK A,1,406,灣仔區,湾仔区,WAN CHAI,HK
15/9/2021,North Point,Fortress Heights,6,8/F Room B,8,,B,551,東區,东区,EASTERN,HK
15/9/2021,Quarry Bay,Kornhill,9.36,BLOCK Q 2#/F Room 14,2,BLOCK Q,14,583,東區,东区,EASTERN,HK
15/9/2021,Happy Valley,Villa Lotto,29.5,7/F Room 09,7,,9,1211,屯門區,屯门区,TUEN MUN,NTW
15/9/2021,Taikoo Shing,TaiKoo Shing,27.1,WISTERIA 2#/F Room H,2,WISTERIA,H,1237,東區,东区,EASTERN,HK
15/9/2021,Quarry Bay,Kornhill,10.88,BLOCK C 1#/F Room 1,1,BLOCK C,1,752,東區,东区,EASTERN,HK
15/9/2021,Kennedy Town,One South Lane,6.4,1#/F Room 05,1,,5,213,中西區,中西区,CENTRAL & WESTERN,HK
