VGG16_2d1,VGG16_2d2,VGG16_3d1,VGG16_3d2,VGG16_3d3
0.78926265,0.7294667,0.6757609,0.6144741,0.20517787
0.7924333,0.3522424,0.75086117,0.42897415,0.4272637
0.2309826,0.45182046,0.21587664,0.42638823,0.24203962
0.55487627,0.29979128,0.5300739,0.30334437,0.8539803
0.65229654,0.5545249,0.6212151,0.587789,0.5493348
0.22120476,0.18784207,0.19779167,0.17377344,0.41373628
0.64671063,0.5367393,0.61646444,0.54531217,0.51158565
0.26710516,0.7920186,0.21789762,0.83973426,0.4804465
0.17519557,0.39270487,0.23588464,0.39994016,0.45723635
0.48481146,0.7623854,0.6048617,0.7622472,0.64693564
0.48126766,0.86278135,0.480952,0.80742353,0.38884327
0.4185598,0.60536325,0.35709462,0.55075264,0.17203358
0.23441094,0.4874138,0.304517,0.49605477,0.43654075
0.5298847,0.938985,0.53628117,0.8646573,0.33647025
0.27288824,0.42109185,0.3208757,0.4708881,0.29087347
0.6157193,0.50298864,0.5103618,0.49785653,0.5575345
0.76319647,0.3423382,0.71791947,0.37785777,0.36352962
0.6387427,0.77542627,0.5313144,0.6460229,0.18132558
0.18560392,0.72601795,0.11064088,0.66570866,0.57837695
0.17665127,0.45996714,0.30100262,0.52855885,0.29647407
0.60432607,0.43588316,0.5336725,0.47633132,0.6208153
0.8109205,0.31988767,0.79649174,0.37490022,0.44578126
0.40356004,0.4514198,0.3329202,0.5191244,0.76720905
0.20798802,0.43410084,0.19553623,0.41921896,0.3232167
0.2643266,0.5464918,0.21450636,0.5412245,0.43353155
0.5683802,0.9737603,0.6105386,0.89506507,0.44019106
0.36565012,0.63255394,0.2720713,0.51567495,0.23651323
0.4472322,0.44013155,0.36203682,0.47729915,0.90517724
0.62853515,0.393006,0.5572634,0.36222637,0.45489296
0.7639586,0.58707345,0.79589295,0.5942178,0.47897148
0.5577049,0.43015262,0.49107513,0.52764636,0.65450186
0.23998028,0.23852254,0.26744097,0.24134842,0.72148746
0.62232983,0.80382776,0.55499923,0.7160013,0.16222623
0.83812845,0.6974003,0.6655867,0.5832185,0.27480233
0.48650375,0.97242737,0.49620667,0.97851706,0.31246775
0.55895275,0.47916517,0.6220403,0.56554943,0.8159355
0.6002678,0.56380224,0.62096596,0.52027476,0.27147108
0.11538145,0.6545292,0.2431904,0.5786754,0.18219575
0.71007663,0.59061754,0.67553926,0.6109805,0.4651627
0.7854674,0.28927547,0.8045824,0.27069157,0.35530114
0.58796614,0.7820742,0.593231,0.6507068,0.009493113
0.4025649,0.64538884,0.34887522,0.6028536,0.32003653
0.27425778,0.51218903,0.22676045,0.5053381,0.72550285
0.19459867,0.7614187,0.17244679,0.7847082,0.6392313
0.3830903,0.9373249,0.40603507,0.94027114,0.5168184
0.6180076,0.41825595,0.62700427,0.5564494,0.7102404
0.71253455,0.12342858,0.6748543,0.11433935,0.49542987
0.72418,0.81414926,0.5625615,0.6135866,0.09128049
0.48366907,0.18567827,0.4965074,0.24593252,0.7269508
0.40426853,0.3013724,0.41733003,0.35707062,0.55025643
0.45884103,0.2690621,0.4856396,0.35038978,0.46480566
0.39101,0.68602294,0.327748,0.6849217,0.2765453
0.67858714,0.19084588,0.66937375,0.19330299,0.7474278
0.7769567,0.38536057,0.7452115,0.45934147,0.5022418
0.3460869,0.63508344,0.38076538,0.6180672,0.4910488
0.23864463,0.6719309,0.26406652,0.68249696,0.60634017
0.28724158,0.47019702,0.35411993,0.4803143,0.2592882
0.4614398,0.27900672,0.48743537,0.36603558,0.50567824
0.2875068,0.63832045,0.34777078,0.6159649,0.55100775
0.11151883,0.47134653,0.08789879,0.47514352,0.37036335
0.3224814,0.41041854,0.28654677,0.3189655,0.14347014
0.8198658,0.5855437,0.6904149,0.48410445,0.2640817
0.48414835,0.66528666,0.40487048,0.5711301,0.16219944
0.6582118,0.7981513,0.6247187,0.66706264,0.2112115
0.41350934,0.6640641,0.4011332,0.6646027,0.29895583
0.6887526,0.5657825,0.66558063,0.6052093,0.6582347
0.43491045,0.7505791,0.50563115,0.7230419,0.31001717
0.5944639,0.8909349,0.49748707,0.7823317,0.10870874
0.59850514,0.14610407,0.5945536,0.17642677,0.20180967
0.2929515,0.37527755,0.29765433,0.38507408,0.41068602
0.1402564,0.36916167,0.100605905,0.3041623,0.5668558
0.09702021,0.26415324,0.0928936,0.39906856,0.749509
0.23293906,0.4650882,0.21153507,0.46659067,0.25599274
0.3763728,0.64558464,0.20004249,0.54405504,0.27985352
0.9239632,0.23796351,0.95813644,0.38957107,0.49619338
0.40426126,0.22824314,0.4078126,0.2904154,0.77700675
0.9138957,0.3339389,0.86732644,0.40129647,0.58735955
0.45553106,0.6338159,0.22835484,0.6492075,0.24895857
0.4601147,0.6169757,0.44095916,0.5129385,0.367201
0.49474984,0.17888418,0.5330434,0.23438397,0.5405078
0.15035751,0.47414622,0.24651238,0.5473244,0.2147561
0.3780032,0.7787813,0.39416778,0.81150424,0.6426512
0.5228356,0.7190471,0.64241016,0.79667306,0.5949641
0.5290867,0.9058533,0.49051997,0.82915866,0.2767207
0.6223843,0.84669757,0.61800146,0.7165066,0.2800889
0.10773617,0.27874827,0.08169252,0.38505143,0.66855335
0.26803026,0.5156567,0.23714119,0.5364596,0.7227006
0.43442532,0.72437817,0.45069632,0.6918334,0.3970732
0.82797974,0.25382176,0.8033178,0.32005948,0.5090403
0.50508755,0.13800296,0.51100093,0.23930165,0.6617806
0.41604048,0.87115836,0.42512834,0.8748958,0.46685782
0.42844927,0.67631984,0.41395116,0.72140765,0.32343864
0.2666662,0.5550766,0.21629333,0.559162,0.4656212
0.79166657,0.5079846,0.7338954,0.5640005,0.5675591
0.48911574,0.5962144,0.44257322,0.53546697,0.24438381
0.558787,0.80138135,0.40143532,0.78070444,0.08650911
0.6433965,0.8024335,0.5762204,0.67964464,0.181169
0.72336006,0.73973495,0.759369,0.74484247,0.51804525
0.6584547,0.30418357,0.6537546,0.38857675,0.77252996
