img,sky,building,vegetation
9480,0.361,0.028,0.225
9481,0.272,0.128,0.242
9482,0.515,0.006,0.11
9483,0.51,0.057,0.055
9484,0,0.658,0.00325
9485,0.559,0.028,0.056
9486,0.241,0.302,0.108
9487,0.2,0.455,0.019
9488,0.546,0.055,0.012
9489,0.58,0.006,0.059
9490,0.286,0.255,0.126
9491,0.453,0.032,0.055
9492,0.575,0.001,0.076
9493,0.1375,0,0.37875
9494,0.37,0.001,0.278
9495,0.537,0.004,0.167
9496,0.445,0.011,0.175
9497,0.327,0.307,0.034
9498,0.45,0.114,0.069
9499,0.195,0.012,0.45
9500,0,0.33,0
9501,0.339,0.263,0.057
9502,0.419,0.178,0.037
9503,0.166,0.493,0
9504,0.361,0.212,0.036
9505,0.352,0.12,0.052
9506,0.395,0.196,0.051
9507,0.349,0.271,0.038
9508,0.218,0.404,0.057
9509,0.193,0.256,0.012
9510,0.428,0.19,0.065
9511,0.29,0.009,0.329
9512,0.285,0.225,0.149
9513,0.534,0.124,0.017
9514,0.056,0.117,0.497
9515,0.091,0,0.582
9516,0.327,0.227,0.153
9517,0.453,0.096,0.088
9518,0.514,0.007,0.121
9519,0.479,0.085,0.108
9520,0.531,0.014,0.062
9521,0.352,0,0.315
9522,0.473,0.106,0.043
9523,0.468,0.065,0.109
9524,0.306,0.2,0.189
9525,0.463,0.13,0.033
9526,0.057,0.607,0
9527,0.233,0.325,0.118
9528,0.355,0.271,0.019
9529,0.352,0.135,0.154
9530,0.403,0.123,0.1
9531,0.324,0.035,0.391
9532,0.351,0.003,0.377
9533,0.573,0.042,0.006
9534,0.353,0.181,0.119
9535,0.369,0.19,0.079
9536,0.354,0.05,0.237
9537,0,0.149,0
9538,0.349,0.001,0.321
9539,0.364,0.013,0.323
9540,0.4,0.001,0.287
9541,0.504,0.085,0.028
9542,0.173,0.239,0.249
9543,0,0.142,0.3815
9544,0.248,0.425,0
9545,0.513,0.081,0.03
9546,0.296,0.159,0.176
9547,0.514,0.072,0.061
9548,0.278,0.021,0.329
9549,0.18,0.447,0.083
9550,0.161,0.465,0.028
9551,0.512,0.027,0.086
9552,0.437,0.184,0.031
9553,0.218,0.475,0
9554,0.38,0.248,0.051
9555,0.48,0.004,0.213
9556,0.215,0.437,0
9557,0.268,0.376,0.017
9558,0.184,0.51,0.001
9559,0.377,0,0.277
9560,0.398,0.026,0.294
9561,0.347,0,0.288
9562,0.207,0.432,0
9563,0.337,0.001,0.311
9564,0.505,0.024,0.095
9565,0.412,0.203,0.047
9566,0.357,0.004,0.346
9567,0.478,0.109,0
9568,0.228,0.005,0.461
9569,0.395,0.314,0.007
9570,0.36,0.243,0.033
9571,0.544,0.025,0.042
9572,0.341,0.061,0.217
9573,0.294,0.391,0.055
9574,0.277,0.273,0.118
9575,0.325,0.018,0.309
9576,0.357,0.176,0.166
9577,0.02275,0.03275,0.4765
9578,0.34,0.001,0.308
9579,0.484,0.02,0.107
9580,0.407,0,0.274
9581,0.363,0.109,0.202
9582,0.146,0.349,0.039
9583,0.362,0.136,0.152
9584,0.426,0.164,0.038
9585,0.349,0.066,0.208
9586,0.328,0.256,0.071
9587,0.181,0.257,0.268
9588,0.327,0.211,0.082
9589,0.299,0.202,0.147
9590,0.491,0.003,0.164
9591,0.412,0.12,0.113
9592,0.238,0.327,0.102
9593,0.293,0.441,0.024
9594,0.345,0.271,0.011
9595,0.242,0.289,0.114
9596,0.0345,0.0695,0.59675
9597,0.302,0.046,0.257
9598,0.471,0.152,0.021
9599,0.272,0.356,0.053
9600,0.395,0.185,0.071
9601,0.233,0.006,0.453
9602,0,0.188,0
9603,0.448,0.002,0.186
9604,0.348,0.26,0.05
9605,0.233,0.405,0.003
9606,0.036,0,0.673
9607,0.304,0.4,0.009
9608,0.568,0.026,0.006
9609,0.217,0.43,0.03
9610,0,0.544,0
9611,0.306,0.044,0.283
9612,0.469,0.071,0.076
9613,0.269,0.004,0.397
9614,0,0.12325,0.38475
9615,0.255,0.398,0.004
9616,0.519,0.05,0.096
9617,0.36,0.082,0.273
9618,0.369,0.02,0.217
9619,0.019,0.4985,0.11625
9620,0.2575,0.12525,0.03525
9621,0.429,0.128,0.064
9622,0.435,0.006,0.232
9623,0,0.733,0.001
9624,0.153,0.45,0.073
9625,0.563,0.036,0.018
9626,0.453,0.043,0.206
9627,0.39,0.098,0.124
9628,0.512,0.067,0.092
9629,0.495,0.171,0.013
9630,0.522,0.096,0.018
9631,0.393,0.158,0.108
9632,0.254,0,0.376
9633,0.04975,0.3725,0.05875
9634,0.467,0.005,0.163
9635,0.29,0.344,0.066
9636,0.329,0.208,0.136
9637,0.232,0.441,0.002
9638,0.433,0.108,0.072
9639,0.448,0.112,0.077
9640,0.378,0.074,0.229
9641,0.458,0.1,0.088
9642,0.478,0.01,0.167
9643,0.264,0.07,0.304
9644,0.351,0.028,0.279
9645,0.402,0.255,0.023
9646,0.403,0,0.255
9647,0.398,0.096,0.152
9648,0.266,0.077,0.217
9649,0.402,0.054,0.173
9650,0.423,0.124,0.065
9651,0.441,0.06,0.117
9652,0.486,0.008,0.084
9653,0.33,0.325,0.011
9654,0.3405,0.07,0.00025
9655,0.291,0.33,0.025
9656,0.016,0.036,0.592
9657,0.274,0.134,0.307
9658,0.124,0.625,0
9659,0.506,0.011,0.131
9660,0.223,0.465,0.001
9661,0.393,0.182,0.054
9662,0.195,0.461,0.02
9663,0.233,0.278,0.141
9664,0.404,0.167,0.085
9665,0.458,0.018,0.178
9666,0.26,0.412,0
9667,0.236,0.442,0.013
9668,0.077,0.094,0.488
9669,0.41,0.217,0.016
9670,0.213,0.151,0.3
9671,0.261,0.236,0.158
9672,0.312,0.001,0.311
9673,0.321,0.033,0.306
9674,0.03,0.691,0
9675,0.28,0.01,0.329
9676,0.55,0.068,0
9677,0.315,0.031,0.307
9678,0.376,0.137,0.074
9679,0.385,0.101,0.167
9680,0.02425,0.32125,0.12925
9681,0.168,0.555,0.026
9682,0.517,0.099,0.045
9683,0.19,0.297,0.185
9684,0.434,0.054,0.171
9685,0.164,0.504,0
9686,0.195,0.075,0.383
9687,0.383,0.202,0.082
9688,0.301,0,0.392
9689,0.226,0.17,0.217
9690,0,0.90125,0
9691,0.23225,0.121,0.1
9692,0.477,0.125,0.036
9693,0.495,0,0.141
9694,0,0.573,0
9695,0.352,0.192,0.131
9696,0.511,0.086,0.062
9697,0.24025,0.236,0.04725
9698,0.353,0.225,0.053
9699,0.278,0.255,0.124
9700,0.086,0.0875,0.41775
9701,0.272,0.206,0.192
9702,0.353,0.179,0.076
9703,0.439,0.15,0.031
9704,0.467,0.041,0.095
9705,0.181,0.43,0.045
9706,0.439,0.119,0.074
9707,0.367,0.159,0.076
9708,0.404,0.074,0.176
9709,0.515,0.027,0.101
9710,0.269,0.048,0.331
9711,0.016,0.003,0.535
9712,0.507,0.074,0.058
9713,0.116,0.036,0.524
9714,0.383,0.136,0.048
9715,0.503,0.107,0.036
9716,0.553,0.036,0.026
9717,0.418,0.014,0.222
9718,0.386,0.229,0.058
9719,0.165,0.421,0.031
9720,0.348,0.217,0.061
9721,0.286,0.354,0.01
9722,0.435,0.217,0
9723,0.215,0.008,0.473
9724,0.268,0.018,0.33
9725,0,0.359,0
9726,0.184,0.221,0.269
9727,0.186,0,0.482
9728,0.498,0.106,0.046
9729,0.466,0.098,0.054
9730,0.347,0.03,0.24
9731,0.369,0.249,0.028
9732,0.107,0.183,0.406
9733,0.475,0.029,0.142
9734,0.404,0.131,0.089
9735,0.342,0,0.351
9736,0.31,0.114,0.24
9737,0.346,0.073,0.216
9738,0.201,0.384,0.081
9739,0.094,0.28,0.04375
9740,0.275,0.37,0.009
9741,0.221,0.47,0.001
9742,0.37,0.226,0.062
9743,0.227,0.008,0.459
9744,0.1,0.001,0.431
9745,0.009,0.001,0.694
9746,0.413,0.137,0.081
9747,0.236,0.129,0.345
9748,0.358,0.206,0.082
9749,0.035,0.12875,0.4295
9750,0.302,0.206,0.148
9751,0.361,0.133,0.124
9752,0.408,0.052,0.229
9753,0.461,0.09,0.148
9754,0.285,0.31,0.065
9755,0.462,0.117,0.055
9756,0.482,0.001,0.157
9757,0.42,0.148,0.098
9758,0.428,0.003,0.202
9759,0.467,0.005,0.16
9760,0.583,0.009,0.061
9761,0.257,0.134,0.225
9762,0.546,0.041,0.06
9763,0.316,0.273,0.06
9764,0.306,0.198,0.132
9765,0.48875,0.00025,0.21625
9766,0.512,0.077,0.017
9767,0.343,0.176,0.227
9768,0.482,0.063,0.097
9769,0.337,0.191,0.147
9770,0.587,0.001,0.082
9771,0.351,0.233,0.096
9772,0.432,0.063,0.123
9773,0.141,0.577,0.021
9774,0.254,0.193,0.218
9775,0.393,0.059,0.184
9776,0.41,0.082,0.116
9777,0.274,0.134,0.201
9778,0.506,0.094,0.074
9779,0.307,0.297,0.048
9780,0,0.617,0.01375
9781,0.517,0.032,0.083
9782,0.437,0,0.223
9783,0.413,0.104,0.176
9784,0.599,0.009,0.007
9785,0.447,0.021,0.167
9786,0.297,0.243,0.145
9787,0.32,0,0.49
9788,0.524,0.063,0.035
9789,0.558,0.067,0.03
9790,0.27,0.347,0.026
9791,0.534,0.084,0
9792,0.304,0.01,0.368
9793,0.398,0.146,0.086
9794,0.424,0.011,0.218
9795,0.37,0.042,0.284
9796,0.252,0.369,0.011
9797,0.148,0.439,0.119
9798,0.394,0.043,0.161
9799,0.01675,0.14775,0.447
9800,0.411,0.006,0.231
9801,0.24,0.004,0.42
9802,0.295,0.352,0.009
9803,0.097,0.2205,0.18625
9804,0.42,0.153,0.055
9805,0.482,0.046,0.176
9806,0.224,0.303,0.168
9807,0.316,0.163,0.115
9808,0.255,0.405,0
9809,0.336,0.378,0.004
9810,0.315,0.18,0.153
9811,0.284,0.281,0.08
9812,0.424,0.169,0.04
9813,0.397,0.082,0.218
9814,0.254,0.275,0.133
9815,0.432,0.311,0
9816,0.187,0.001,0.564
9817,0.19,0.422,0.024
9818,0.362,0.185,0.104
9819,0.426,0.141,0.065
9820,0.442,0.006,0.2
9821,0.397,0.089,0.143
9822,0.407,0.252,0.005
9823,0.215,0.305,0.143
9824,0.215,0.305,0.143
9825,0.262,0.046,0.289
9826,0.056,0.154,0.272
9827,0.411,0.192,0.051
9828,0.477,0.01,0.192
9829,0.136,0.469,0.028
9830,0.53,0.092,0.048
9831,0.129,0.019,0.534
9832,0.18,0.002,0.442
9833,0.3,0.328,0.058
9834,0.362,0.074,0.191
9835,0.235,0,0.522
9836,0.44,0.075,0.122
9837,0.368,0,0.328
9838,0.451,0.018,0.13
9839,0.527,0.09,0.043
9840,0.461,0.134,0.013
9841,0.344,0.024,0.154
9842,0.381,0.071,0.185
9843,0.327,0.2,0.064
9844,0,0.272,0
9845,0.231,0.139,0.27
9846,0.478,0.041,0.12
9847,0.4,0.006,0.233
9848,0,0.4455,0.0065
9849,0.241,0.284,0.126
9850,0.238,0.279,0.145
9851,0.384,0.174,0.09
9852,0.399,0.195,0.022
9853,0.35,0.214,0.077
9854,0.267,0.047,0.336
9855,0.356,0.028,0.275
9856,0.203,0.484,0
9857,0.23,0.216,0.191
9858,0.274,0.164,0.198
9859,0.553,0.037,0.09
9860,0,0.254,0.001
9861,0.372,0.071,0.228
9862,0.467,0.086,0.084
9863,0.16975,0.0195,0.27
9864,0.378,0.09,0.195
9865,0.491,0.115,0
9866,0.395,0.001,0.227
9867,0.281,0.044,0.298
9868,0.323,0.222,0.124
9869,0.311,0.344,0
9870,0.108,0.027,0.485
9871,0.251,0.012,0.342
9872,0.385,0.228,0.013
9873,0.291,0.021,0.338
9874,0.413,0.06,0.197
9875,0.001,0.572,0.001
9876,0.04175,0.01775,0.47175
9877,0.499,0.004,0.157
9878,0.322,0.083,0.214
9879,0.316,0.129,0.259
9880,0.212,0.002,0.401
9881,0.266,0.38,0.024
9882,0.11,0.108,0.432
9883,0.137,0.504,0
9884,0.301,0.334,0.001
9885,0.321,0.024,0.381
9886,0.297,0.048,0.239
9887,0.08175,0.15125,0.162
9888,0,0.372,0
9889,0.086,0.002,0.61
9890,0.118,0.022,0.522
9891,0.211,0.027,0.299
9892,0.378,0.21,0.093
9893,0.368,0,0.324
9894,0.258,0.233,0.14
9895,0.423,0,0.28
9896,0.276,0.386,0.017
9897,0.0215,0.012,0.53575
9898,0.356,0.003,0.332
9899,0.395,0.097,0.212
9900,0.561,0.053,0.068
9901,0.483,0.022,0.128
9902,0.24,0.434,0.001
9903,0.296,0.055,0.334
9904,0.435,0.189,0.055
9905,0.136,0,0.573
9906,0.221,0.483,0
9907,0.501,0.055,0.098
9908,0.182,0.445,0.032
9909,0.03325,0.44375,0.1105
9910,0.543,0.031,0.102
9911,0.388,0.165,0.073
9912,0,0.306,0.001
9913,0.006,0.401,0
9914,0.174,0,0.471
9915,0.391,0,0.237
9916,0.364,0.143,0.11
9917,0,0.293,0
9918,0.186,0.454,0
9919,0.187,0.017,0.45
9920,0.341,0.037,0.357
9921,0.462,0.161,0.068
9922,0.003,0,0.659
9923,0.104,0.176,0.388
9924,0.211,0.481,0.044
9925,0.419,0.092,0.113
9926,0.105,0.034,0.593
9927,0.1895,0.313,0
9928,0.349,0.039,0.224
9929,0.379,0.174,0.145
9930,0.499,0.023,0.158
9931,0.391,0.171,0.086
9932,0.375,0.011,0.265
9933,0.309,0.001,0.396
9934,0.369,0.109,0.147
9935,0.402,0.232,0.001
9936,0.293,0.315,0.034
9937,0.252,0.15,0.231
9938,0.02775,0.37725,0.132
9939,0.26,0.377,0.005
9940,0,0.808,0
9941,0.616,0.001,0.016
9942,0.058,0,0.573
9943,0.108,0.073,0.536
9944,0.372,0.157,0.137
9945,0.522,0.031,0.051
9946,0.14,0.253,0.265
9947,0.053,0.2395,0.29125
9948,0.24,0.36,0.037
9949,0.297,0.134,0.234
9950,0.453,0.042,0.156
9951,0.343,0.326,0.026
9952,0.21725,0.009,0.29625
9953,0.136,0.212,0.299
9954,0.404,0.06,0.193
9955,0.343,0.108,0.215
9956,0.418,0.161,0.059
9957,0.172,0.005,0.482
9958,0.27,0.174,0.233
9959,0.449,0.041,0.161
9960,0.431,0.089,0.192
9961,0.005,0.661,0.018
9962,0.282,0.374,0.056
9963,0.385,0.069,0.207
9964,0.243,0.005,0.476
9965,0.469,0.016,0.165
9966,0.221,0.016,0.405
9967,0.353,0.002,0.162
9968,0.414,0.159,0.055
9969,0.385,0.008,0.231
9970,0.343,0.06,0.265
9971,0.269,0.033,0.271
9972,0.192,0.003,0.509
9973,0.225,0.056,0.396
9974,0.254,0,0.442
9975,0.189,0.39,0.025
9976,0.25875,0.254,0.08125
9977,0.361,0.038,0.277
9978,0.461,0.002,0.171
9979,0,0.007,0.706
9980,0.05,0.10975,0.40575
9981,0.504,0.084,0.063
9982,0.364,0.028,0.204
9983,0.322,0.395,0.026
9984,0.12225,0.16475,0.241
9985,0.311,0.433,0.015
9986,0.245,0.324,0.087
9987,0.073,0.304,0.321
9988,0.434,0.008,0.114
9989,0.388,0.028,0.258
9990,0.537,0.001,0.107
9991,0.528,0.001,0.095
9992,0.448,0.166,0.058
9993,0.416,0.09,0.125
9994,0.444,0.072,0.189
9995,0.245,0.365,0.029
9996,0.558,0.052,0.003
9997,0.248,0.393,0
9998,0.345,0.199,0.204
9999,0.495,0.129,0.074
10000,0.418,0.102,0.131
10001,0.308,0.3,0.037
10002,0.422,0.027,0.193
10003,0.462,0.003,0.182
10004,0.198,0.422,0
10005,0.451,0.107,0.096
10006,0.394,0.27,0.003
10007,0.1265,0.23925,0.08675
10008,0.226,0.14,0.276
10009,0.523,0.109,0.04
10010,0.204,0.341,0.079
10011,0.413,0.107,0.151
10012,0.602,0.001,0.016
10013,0.276,0.019,0.365
10014,0.197,0.419,0.001
10015,0.399,0.158,0.165
10016,0.381,0.007,0.191
10017,0.242,0.243,0.172
10018,0.315,0.049,0.354
10019,0.238,0.239,0.19
10020,0.258,0.361,0.03
10021,0.399,0.171,0.083
10022,0.419,0.132,0.108
10023,0.43,0.055,0.134
10024,0,0.495,0
10025,0.424,0.021,0.175
10026,0.444,0.016,0.162
10027,0.308,0.044,0.324
10028,0.45,0.078,0.088
10029,0.513,0,0.252
10030,0.363,0.271,0.087
10031,0.174,0,0.454
10032,0.468,0.126,0.066
10033,0.549,0.055,0.055
10034,0.114,0.173,0.381
10035,0.515,0.099,0.012
10036,0.363,0.378,0.006
10037,0.584,0.037,0.018
10038,0.226,0.441,0.01
10039,0,0.732,0
10040,0.456,0.042,0.134
10041,0.357,0.173,0.086
10042,0.122,0.037,0.455
10043,0.295,0.276,0.07
10044,0.305,0,0.401
10045,0.04225,0.021,0.68075
10046,0.415,0.061,0.166
10047,0.438,0.122,0.099
10048,0.269,0.314,0.058
10049,0.155,0.001,0.595
10050,0.192,0.178,0.224
10051,0.249,0.013,0.37
10052,0.589,0.047,0.002
10053,0.204,0.455,0.005
10054,0,0.244,0
10055,0.248,0.335,0.097
10056,0.176,0.471,0.001
10057,0.392,0.032,0.249
10058,0.20375,0.0885,0.18825
10059,0.042,0.567,0.035
10060,0.408,0.097,0.144
10061,0.083,0.1675,0.19925
10062,0.003,0.668,0.003
10063,0.508,0.005,0.133
10064,0.25,0.371,0.09
10065,0.372,0.16,0.106
10066,0.502,0.003,0.093
10067,0.257,0.231,0.187
10068,0.367,0.25,0.023
10069,0.454,0.127,0.058
10070,0.361,0.119,0.177
10071,0.423,0.057,0.226
10072,0.307,0.039,0.332
10073,0.138,0.446,0.008
10074,0.28,0.002,0.317
10075,0.32,0.018,0.348
10076,0.506,0.099,0.122
10077,0.322,0.104,0.231
10078,0.488,0.124,0.059
10079,0.152,0.572,0
10080,0.515,0.018,0.139
10081,0.01,0.728,0.036
10082,0.436,0.191,0.015
10083,0.355,0.235,0.043
10084,0.337,0.058,0.214
10085,0.337,0.054,0.243
10086,0.394,0.012,0.236
10087,0.346,0.214,0.051
10088,0,0.70275,0.00175
10089,0.225,0,0.462
10090,0,0.656,0
10091,0.278,0.04,0.323
10092,0.198,0.016,0.464
10093,0.424,0.148,0.075
10094,0.4,0.005,0.263
10095,0,0.6125,0.044
10096,0.012,0.111,0.653
10097,0.23,0.393,0
10098,0.597,0.017,0.041
10099,0,0.82,0
10100,0.407,0.033,0.194
10101,0.185,0.484,0
10102,0.541,0.053,0.038
10103,0.469,0.194,0.044
10104,0,0.818,0
10105,0.0405,0.0385,0.4345
10106,0.453,0.016,0.163
10107,0.411,0.164,0.06
10108,0.405,0.136,0.112
10109,0.431,0.003,0.199
10110,0.254,0.012,0.452
10111,0.263,0.324,0.048
10112,0.553,0.009,0.065
10113,0.519,0.012,0.144
10114,0.461,0.049,0.116
10115,0.427,0.059,0.174
10116,0.412,0,0.26
10117,0.354,0.153,0.128
10118,0.445,0.027,0.188
10119,0.396,0.002,0.16
10120,0.525,0.022,0.072
10121,0.459,0.008,0.185
10122,0.283,0.269,0.071
10123,0.196,0.093,0.375
10124,0.317,0.253,0.096
10125,0.309,0,0.398
10126,0.262,0.001,0.433
10127,0.531,0.005,0.075
10128,0.44,0.075,0.124
10129,0.283,0.213,0.177
10130,0.482,0.102,0.052
10131,0,0.247,0
10132,0.438,0.023,0.166
10133,0.371,0.141,0.117
10134,0.025,0.023,0.78
10135,0.178,0.354,0.124
10136,0.171,0.511,0
10137,0.364,0.116,0.165
10138,0.209,0.404,0.019
10139,0.342,0,0.322
10140,0.289,0.427,0
10141,0.277,0.02,0.332
10142,0.511,0.1,0
10143,0.184,0.47,0
10144,0.312,0.342,0.013
10145,0.306,0.286,0.074
10146,0.415,0.154,0.065
10147,0.399,0.041,0.221
10148,0.441,0.033,0.157
10149,0.472,0.026,0.125
10150,0.128,0.014,0.61
10151,0.08125,0.2095,0.22425
10152,0.407,0.025,0.216
10153,0.414,0.254,0.019
10154,0.438,0.083,0.093
10155,0.357,0.01,0.335
10156,0.304,0.03,0.349
10157,0.382,0,0.251
10158,0.014,0.549,0.112
10159,0.407,0.186,0.049
10160,0.418,0.03,0.195
10161,0.395,0.13,0.119
10162,0.487,0.138,0.013
10163,0.064,0.03025,0.434
10164,0.432,0.004,0.203
10165,0.453,0.094,0.084
10166,0.018,0.614,0.048
10167,0.341,0,0.296
10168,0.012,0.20575,0.40075
10169,0.468,0.045,0.103
10170,0.44,0.114,0.069
10171,0.401,0.006,0.414
10172,0.355,0.212,0.118
10173,0,0.629,0
10174,0.253,0.372,0.029
10175,0.273,0.385,0.078
10176,0.238,0.372,0.032
10177,0.03925,0.05225,0.41675
10178,0.09975,0.65525,0.04925
10179,0.3,0.043,0.304
10180,0.193,0.01,0.452
10181,0.095,0.554,0
10182,0,0.57,0.002
10183,0.277,0.251,0.142
10184,0.277,0.013,0.403
10185,0,0.48975,0.0495
10186,0.483,0.13,0.047
10187,0.447,0.092,0.127
10188,0.041,0,0.705
10189,0.431,0.154,0.034
10190,0.415,0.044,0.156
10191,0.501,0.096,0.019
10192,0.26,0.117,0.332
10193,0.422,0.033,0.178
10194,0.307,0.285,0.062
10195,0.32,0.045,0.282
10196,0,0.545,0
10197,0.254,0.374,0.029
10198,0.28,0.158,0.185
10199,0.235,0.051,0.318
10200,0.282,0.344,0.048
10201,0.338,0.289,0.026
10202,0.305,0.003,0.35
10203,0.256,0.377,0.018
10204,0.026,0.612,0.022
10205,0.563,0.034,0.016
10206,0,0.4055,0.318
10207,0.474,0.067,0.115
10208,0.482,0.15,0.007
10209,0.473,0.118,0
10210,0.397,0.09,0.217
10211,0.395,0.038,0.233
10212,0.463,0.095,0.05
10213,0.364,0.212,0.061
10214,0.349,0.148,0.157
10215,0.318,0.153,0.166
10216,0.326,0.405,0.009
10217,0.356,0.128,0.14
10218,0.282,0.336,0.028
10219,0.566,0.001,0.077
10220,0.443,0.163,0.002
10221,0.435,0.003,0.207
10222,0.013,0.0435,0.52275
10223,0.329,0.017,0.327
10224,0.541,0.005,0.116
10225,0.352,0.208,0.085
10226,0.357,0.176,0.061
10227,0.356,0.082,0.236
10228,0.38,0.074,0.184
10229,0.171,0.535,0
10230,0.34,0.157,0.13
10231,0.376,0.09,0.199
10232,0.442,0.209,0.041
10233,0.199,0.478,0
10234,0.39,0.103,0.17
10235,0.047,0.027,0.586
10236,0.397,0.004,0.232
10237,0.41,0.175,0.099
10238,0.484,0.032,0.135
10239,0.282,0.12,0.131
10240,0.513,0.124,0.054
10241,0.45,0.105,0.03
10242,0.249,0.417,0.002
10243,0.184,0,0.543
10244,0.245,0,0.511
10245,0.434,0.091,0.16
10246,0.435,0.065,0.137
10247,0.063,0.15925,0.33575
10248,0.284,0.252,0.121
10249,0.423,0.029,0.226
10250,0.175,0.465,0.05
10251,0.1085,0.07,0.31075
10252,0.161,0.455,0.105
10253,0,0.787,0
10254,0.476,0.116,0.06
10255,0.38,0.03,0.238
10256,0.435,0.151,0.063
10257,0.459,0.142,0.011
10258,0.357,0.127,0.136
10259,0.245,0.315,0.037
10260,0.5,0.02,0.106
10261,0.349,0.131,0.168
10262,0.069,0,0.697
10263,0.265,0.164,0.23
10264,0.505,0.124,0.009
10265,0.531,0.018,0.081
10266,0.343,0.247,0.049
10267,0.346,0.241,0.059
10268,0.273,0.219,0.136
10269,0.463,0,0.188
10270,0.454,0.04,0.191
10271,0.039,0.001,0.634
10272,0.417,0.2,0.122
10273,0.39,0.23,0.004
10274,0.328,0.166,0.158
10275,0.251,0.343,0.024
10276,0.33,0.289,0.023
10277,0.267,0.066,0.278
10278,0,0.69,0.019
10279,0.04775,0.2765,0.14925
10280,0.33,0.089,0.209
10281,0.384,0.149,0.086
10282,0.475,0,0.379
10283,0.449,0.009,0.207
10284,0.469,0.102,0.053
10285,0.297,0.39,0
10286,0.0015,0.0005,0.491
10287,0.298,0.094,0.252
10288,0.36,0.043,0.222
10289,0.342,0.002,0.338
10290,0.469,0.036,0.064
10291,0.259,0.332,0.065
10292,0.415,0.088,0.132
10293,0.003,0.3235,0.1365
10294,0.262,0.37,0
10295,0.37,0.033,0.251
10296,0.258,0.177,0.289
10297,0.212,0.452,0.001
10298,0.347,0.103,0.143
10299,0.0875,0.32375,0.11525
10300,0.238,0.015,0.429
10301,0.106,0.034,0.572
10302,0.197,0.398,0.001
10303,0.409,0.151,0.092
10304,0.222,0.189,0.21
10305,0.245,0.38,0.04
10306,0.453,0.005,0.196
10307,0,0.193,0
10308,0.342,0.299,0.013
10309,0.195,0.027,0.447
10310,0.22,0.424,0.04
10311,0.391,0.257,0.001
10312,0.207,0.443,0.021
10313,0.194,0.434,0.009
10314,0,0.612,0
10315,0,0.135,0
10316,0.246,0.452,0.024
10317,0.158,0.509,0
10318,0.33,0.007,0.289
10319,0.443,0.038,0.075
10320,0.404,0.218,0.026
10321,0.367,0.021,0.172
10322,0.434,0.023,0.174
10323,0.337,0.257,0.127
10324,0.523,0.115,0.004
10325,0.313,0.23,0.068
10326,0.273,0.327,0.055
10327,0.496,0.027,0.105
10328,0.297,0,0.4
10329,0.445,0.198,0.023
10330,0.214,0.471,0.003
10331,0.196,0.529,0
10332,0.239,0.183,0.252
10333,0.29,0.036,0.409
10334,0,0.336,0
10335,0,0.241,0.014
10336,0.005,0.311,0.002
10337,0.447,0.129,0.093
10338,0.53,0.09,0.06
10339,0.423,0.041,0.219
10340,0.474,0.007,0.133
10341,0.14,0.19,0.259
10342,0.014,0.276,0.471
10343,0.398,0.168,0.058
10344,0.23,0.155,0.284
10345,0.334,0.296,0
10346,0,0.503,0.128
10347,0.32,0.317,0.001
10348,0.162,0.412,0.093
10349,0.285,0.001,0.465
10350,0.331,0.18,0.153
10351,0.181,0.093,0.337
10352,0.288,0.15,0.197
10353,0.307,0.002,0.473
10354,0.002,0.627,0.017
10355,0.269,0.048,0.366
10356,0.48075,0.053,0.0925
10357,0.13275,0.42175,0.01825
10358,0,0.602,0.083
10359,0.392,0.205,0.023
10360,0.423,0.246,0.002
10361,0.013,0.695,0.015
10362,0.024,0.592,0
10363,0.259,0.381,0.024
10364,0.26,0.069,0.319
10365,0.188,0,0.494
10366,0.342,0.234,0.064
10367,0.216,0.124,0.331
10368,0,0.843,0
10369,0.35,0.163,0.132
10370,0.185,0.004,0.503
10371,0.247,0.38,0.047
10372,0.262,0.061,0.415
10373,0.305,0.25,0.059
10374,0.305,0.134,0.273
10375,0.435,0.172,0.016
10376,0.565,0.038,0.032
10377,0.161,0.432,0.011
10378,0.373,0,0.274
10379,0.394,0.061,0.218
10380,0.344,0.008,0.331
10381,0.407,0.01,0.186
10382,0.273,0.376,0.043
10383,0.203,0.474,0
10384,0.401,0.162,0.067
10385,0.487,0.15,0.016
10386,0.409,0.001,0.226
10387,0.399,0.12,0.141
10388,0.149,0.018,0.494
10389,0.306,0.35,0.011
10390,0,0.375,0
10391,0.124,0.146,0.424
10392,0.515,0.106,0.027
10393,0.545,0.055,0.092
10394,0.044,0.66,0
10395,0.303,0.225,0.131
10396,0.129,0.21525,0.14
10397,0.437,0.001,0.287
10398,0.007,0.592,0.011
10399,0.175,0.524,0.012
10400,0.284,0.353,0.014
10401,0.219,0.437,0
10402,0.545,0.043,0.108
10403,0.106,0.556,0.019
10404,0.234,0.048,0.347
10405,0.062,0.00675,0.6005
10406,0.056,0.684,0.004
10407,0.325,0.14,0.02
10408,0.434,0.004,0.221
10409,0.329,0.103,0.198
10410,0.27,0.314,0.043
10411,0.213,0.001,0.408
10412,0.28,0.028,0.19325
10413,0.135,0.531,0.009
10414,0.483,0.013,0.13
10415,0.414,0,0.394
10416,0.464,0.111,0.051
10417,0.159,0.065,0.447
10418,0.079,0.1305,0.50425
10419,0.311,0.11,0.193
10420,0.00925,0.06775,0.36825
10421,0.224,0.324,0.006
10422,0.46,0.033,0.141
10423,0.466,0.007,0.187
10424,0,0.56,0.059
