img,sky,building,vegetation
231,0.1635,0.0195,0.3245
232,0.154,0.444,0
233,0.211,0.463,0.055
234,0.28,0.371,0.071
235,0.461,0.083,0.081
236,0.316,0.188,0.152
237,0.383,0.27,0.012
238,0.174,0.374,0.153
239,0.156,0.292,0.242
240,0.356,0.251,0.05
241,0.493,0.002,0.138
242,0.189,0.041,0.451
243,0.057,0,0.664
244,0.362,0.295,0.011
245,0.48,0.053,0.092
246,0.374,0.026,0.24
247,0.289,0.122,0.254
248,0,0.519,0.004
249,0.547,0.07,0.04
250,0.249,0.113,0.289
251,0.357,0.147,0.141
252,0.1125,0.369,0.0135
253,0.183,0.001,0.566
254,0,0.557,0
255,0.303,0.132,0.234
256,0.309,0.219,0.091
257,0.296,0.06,0.309
258,0.302,0.203,0.037
259,0.328,0.298,0.002
260,0.112,0.151,0.374
261,0.319,0.262,0.111
262,0.222,0.052,0.374
263,0.243,0.354,0.043
264,0.361,0.004,0.292
265,0.065,0.385,0.223
266,0.427,0.233,0.063
267,0.503,0.092,0.025
268,0.356,0.143,0.124
269,0.499,0.168,0.008
270,0.302,0.243,0.141
271,0.017,0.584,0.027
272,0.379,0.169,0.102
273,0.448,0.152,0.037
274,0.32,0.283,0.04
275,0.207,0.175,0.264
276,0.425,0.104,0.095
277,0.156,0.188,0.289
278,0.479,0.009,0.125
279,0.466,0.02,0.233
280,0.176,0.573,0
281,0.355,0.241,0.124
282,0.412,0.08,0.14
283,0.394,0.055,0.168
284,0.292,0.088,0.298
285,0.198,0.001,0.477
286,0.48,0.07,0.078
287,0.134,0.562,0
288,0.457,0.133,0.032
289,0.436,0.006,0.201
290,0.345,0.03,0.174
291,0.036,0.081,0.603
292,0.186,0.48,0
293,0.457,0.026,0.15
294,0.21,0.002,0.451
295,0.007,0.655,0
296,0.247,0.432,0.084
297,0.347,0.212,0.045
298,0.338,0.212,0.091
299,0.512,0.003,0.012
300,0.317,0.333,0.014
301,0.2675,0.03325,0.3155
302,0.366,0.048,0.182
303,0.247,0.357,0.01
304,0.16,0.559,0.004
305,0.524,0.006,0.115
306,0.191,0.472,0.008
307,0.265,0.386,0.006
308,0.496,0.014,0.141
309,0.275,0.057,0.151
310,0.362,0.083,0.195
311,0.346,0.137,0.101
312,0.516,0.073,0.01
313,0.42,0.07,0.142
314,0.271,0.104,0.266
315,0.376,0.003,0.269
316,0.317,0.109,0.219
317,0.384,0.205,0.048
318,0.072,0.13525,0.28875
319,0.286,0.004,0.356
320,0.2,0.028,0.409
321,0.0355,0,0.516
322,0,0.631,0
323,0.328,0.266,0.035
324,0.421,0.003,0.11
325,0.216,0.109,0.322
326,0.447,0.128,0.082
327,0.277,0.357,0.003
328,0.497,0.018,0.219
329,0.402,0.276,0
330,0.364,0.128,0.059
331,0.43,0.095,0.142
332,0.195,0.419,0.028
333,0.393,0.021,0.203
334,0.293,0.308,0.071
335,0.502,0.101,0.077
336,0.205,0.368,0.086
337,0.393,0.044,0.221
338,0.428,0.066,0.175
339,0.375,0.149,0.09
340,0.383,0.214,0.111
341,0.493,0.069,0.073
342,0.355,0.002,0.308
343,0.334,0.09,0.193
344,0.301,0.059,0.291
345,0.325,0.206,0.116
346,0.434,0.085,0.146
347,0.334,0.133,0.191
348,0.363,0.09,0.179
349,0.357,0.001,0.297
350,0.305,0.272,0.053
351,0.366,0.238,0.004
352,0.135,0,0.642
353,0.411,0.122,0.02
354,0.272,0.348,0.019
355,0.494,0.001,0.11
356,0.501,0.121,0.005
357,0.287,0.33,0.036
358,0.091,0.445,0.095
359,0.394,0.189,0.088
360,0.448,0.134,0.049
361,0.289,0.361,0
362,0.438,0.11,0.101
363,0.443,0.04,0.144
364,0.402,0.02,0.227
365,0.285,0.121,0.261
366,0.2,0.011,0.472
367,0.06,0.175,0.509
368,0.131,0.51,0
369,0.387,0.212,0.062
370,0.279,0.343,0.014
371,0.0135,0.168,0.41725
372,0.163,0.517,0
373,0.206,0.454,0.005
374,0.571,0.006,0.08
375,0.503,0.079,0.039
376,0,0.467,0
377,0.113,0.304,0.263
378,0.357,0.066,0.248
379,0.42,0.064,0.168
380,0.4,0.21,0.032
