pipeline_id,model_type,features,hyperparameters,Time,before_r2,before_mae,before_rmse,after_r2,after_mae,after_rmse,improvement,r2,rmse,r2_rank,rmse_rank,before_r2_rank,before_rmse_rank,after_r2_rank,after_rmse_rank,average_rank
Pipeline_206,LightGBM,"['CCL', 'Floor', 'Area', 'x', 'y', 'Longitude', 'Latitude', 'wifi_hk', 'POI_density', 'Num_class', 'Num_type', 'Class_diversity', 'Type_diversity', 'MAL_Walk500', 'SMK_Walk500', 'KDG_Walk500', 'PRS_Walk500', 'SES_Walk500', 'PAR_Walk500', 'PLG_Walk500', 'RGD_Walk500', 'BUS_Walk500', 'MIN_Walk500', 'CPO_Walk500', 'MTA_Walk500', 'sky1000', 'building1000', 'vegetation1000', 'NDVI500', 'NDWI500', 'NDBI500', 'AlexNet_3d1', 'AlexNet_3d2', 'AlexNet_3d3']","{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 109, 'num_leaves': 36, 'verbose': -1}",0.23,0.7828854858859916,1.610006570738237,3.3988045937668887,0.7753625338361514,1.650927384486923,3.4571869417366194,0,0.7828854858859916,3.3988045937668887,241.0,241.0,217.0,217.0,233.0,233.0,225.0
Pipeline_207,XGBoost,"['CCL', 'Floor', 'Area', 'x', 'y', 'Longitude', 'Latitude', 'wifi_hk', 'POI_density', 'Num_class', 'Num_type', 'Class_diversity', 'Type_diversity', 'MAL_Walk500', 'SMK_Walk500', 'KDG_Walk500', 'PRS_Walk500', 'SES_Walk500', 'PAR_Walk500', 'PLG_Walk500', 'RGD_Walk500', 'BUS_Walk500', 'MIN_Walk500', 'CPO_Walk500', 'MTA_Walk500', 'sky1000', 'building1000', 'vegetation1000', 'NDVI500', 'NDWI500', 'NDBI500', 'AlexNet_3d1', 'AlexNet_3d2', 'AlexNet_3d3']","{'learning_rate': 0.1, 'max_depth': 11, 'min_child_weight': 2, 'n_estimators': 47, 'objective': 'reg:squarederror', 'subsample': 0.30000000000000004}",1.32,0.8147802750001906,1.3176882561950418,3.139246260447155,0.7915912634513133,1.8292272699976304,3.329965456986831,0,0.8147802750001906,3.139246260447155,182.0,182.0,172.0,172.0,210.0,210.0,191.0
Pipeline_208,Extra Tree,"['CCL', 'Area', 'x', 'y', 'Longitude', 'Latitude', 'POI_density', 'Num_class', 'Num_type', 'Class_diversity', 'Type_diversity', 'PRS_Walk500', 'PLG_Walk500', 'MIN_Walk500', 'MTA_Walk500', 'sky1000', 'building1000', 'vegetation1000', 'NDVI500', 'NDWI500', 'NDBI500']","{'bootstrap': False, 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 45}",1.57,0.8545093134100556,1.0645869131122052,2.782270587936604,0.8556402612151932,1.1094029979468996,2.7714357308384514,1,0.8556402612151932,2.7714357308384514,61.0,61.0,53.0,53.0,46.0,46.0,49.5
Pipeline_209,XGBoost,"['Area', 'x', 'y', 'Latitude', 'wifi_hk', 'Num_class', 'Num_type', 'Class_diversity', 'SMK_Walk500', 'KDG_Walk500', 'PRS_Walk500', 'SES_Walk500', 'PLG_Walk500', 'MIN_Walk500', 'CPO_Walk500', 'sky1000', 'building1000', 'vegetation1000', 'NDVI500', 'NDWI500', 'NDBI500']","{'learning_rate': 0.1, 'max_depth': 11, 'min_child_weight': 2, 'n_estimators': 47, 'objective': 'reg:squarederror', 'subsample': 0.30000000000000004}",0.72,0.8148276875031066,1.314083952600806,3.1388444429607234,0.8156019694594503,1.2738580164680946,3.132275165719112,1,0.8156019694594503,3.132275165719112,179.0,179.0,171.0,171.0,167.0,167.0,169.0
Pipeline_210,LightGBM,"['Area', 'x', 'y', 'POI_density', 'Num_type', 'Class_diversity', 'building1000', 'vegetation1000', 'NDVI500', 'NDWI500', 'NDBI500']","{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 109, 'num_leaves': 36, 'verbose': -1}",0.26,0.7704233368388382,1.9164743689852,3.494987587402646,0.793196041978943,1.599418540408243,3.3171200646226677,1,0.793196041978943,3.3171200646226677,217.0,217.0,238.0,238.0,208.0,208.0,223.0
Pipeline_211,Extra Tree,"['CCL', 'Area', 'x', 'y', 'Longitude', 'Latitude', 'wifi_hk', 'POI_density', 'Num_class', 'Num_type', 'Class_diversity', 'Type_diversity', 'KDG_Walk500', 'PRS_Walk500', 'PLG_Walk500', 'MTA_Walk500', 'sky1000', 'building1000', 'vegetation1000', 'NDVI500', 'NDWI500', 'NDBI500']","{'bootstrap': False, 'min_samples_leaf': 3, 'min_samples_split': 7, 'n_estimators': 79}",1.33,0.8507061977651174,1.1654052093780682,2.818400177192358,0.851635390756616,1.0752916533669,2.809615735898069,1,0.851635390756616,2.809615735898069,103.0,103.0,83.0,83.0,77.0,77.0,80.0
Pipeline_212,Random Forest,"['CCL', 'Area', 'x', 'y', 'Longitude', 'Latitude', 'POI_density', 'Num_type', 'Class_diversity', 'Type_diversity', 'sky1000', 'building1000', 'vegetation1000', 'NDVI500', 'NDWI500', 'NDBI500']","{'min_samples_leaf': 10, 'min_samples_split': 7, 'n_estimators': 126}",4.21,0.8177441568171483,1.249681556993385,3.1140278941141246,0.8212313679483189,1.2044626708514716,3.0840927223125605,1,0.8212313679483189,3.0840927223125605,172.0,172.0,167.0,167.0,153.0,153.0,160.0
Pipeline_213,XGBoost,"['CCL', 'Floor', 'Area', 'x', 'y', 'Longitude', 'Latitude', 'wifi_hk', 'POI_density', 'Num_class', 'Num_type', 'Class_diversity', 'Type_diversity', 'MAL_Walk500', 'SMK_Walk500', 'KDG_Walk500', 'PRS_Walk500', 'SES_Walk500', 'PAR_Walk500', 'PLG_Walk500', 'RGD_Walk500', 'BUS_Walk500', 'MIN_Walk500', 'CPO_Walk500', 'MTA_Walk500', 'sky1000', 'building1000', 'vegetation1000', 'NDVI500', 'NDWI500', 'NDBI500', 'VGG16_3d1', 'VGG16_3d2', 'VGG16_3d3']","{'learning_rate': 0.1, 'max_depth': 11, 'min_child_weight': 2, 'n_estimators': 47, 'objective': 'reg:squarederror', 'subsample': 0.30000000000000004}",0.8,0.8118398601470871,1.3091901385547398,3.1640663473528887,0.7997625589698711,1.7166504244550955,3.2640320259174973,0,0.8118398601470871,3.1640663473528887,184.0,184.0,175.0,175.0,189.0,189.0,182.0
Pipeline_214,LightGBM,"['CCL', 'Floor', 'Area', 'x', 'y', 'Latitude', 'wifi_hk', 'POI_density', 'Num_class', 'Num_type', 'Class_diversity', 'Type_diversity', 'PRS_Walk500', 'PLG_Walk500', 'MTA_Walk500', 'sky1000', 'building1000', 'vegetation1000', 'NDVI500', 'NDWI500', 'NDBI500', 'VGG16_3d1', 'VGG16_3d2', 'VGG16_3d3']","{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 109, 'num_leaves': 36, 'verbose': -1}",0.16,0.7825133476850643,1.594323147210064,3.401716152933571,0.7842902245991699,1.6110883470881552,3.387791557207042,1,0.7842902245991699,3.387791557207042,238.0,238.0,218.0,218.0,225.0,225.0,221.5
Pipeline_215,Extra Tree,"['CCL', 'Area', 'x', 'y', 'Longitude', 'Latitude', 'wifi_hk', 'POI_density', 'Num_class', 'Num_type', 'Class_diversity', 'Type_diversity', 'PRS_Walk500', 'PLG_Walk500', 'MTA_Walk500', 'sky1000', 'building1000', 'vegetation1000', 'NDVI500', 'NDWI500', 'NDBI500']","{'bootstrap': False, 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 45}",1.2,0.8465658204497036,1.1797691785445816,2.857214370402691,0.849701331379687,1.1171896471121507,2.827869310967857,1,0.849701331379687,2.827869310967857,115.0,115.0,105.0,105.0,92.0,92.0,98.5
